BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback,ElevationEligible
46101,-72.4248,40.87595,RES1,RES,R12N,275393.7,137696.8,15.0273,16.5273,Above DFE,0,0,0
46102,-72.4262,40.87595,RES1,RES,R12N,193899.4,96949.69,16.2879,16.7879,Above DFE,0,0,0
46103,-72.4264,40.87988,RES1,RES,R12B,392776.9,196388.5,21.4921,23.4921,Above DFE,0,0,0
46104,-72.4323,40.87759,RES1,RES,R11N,186223.6,93111.79,19.3879,19.8879,Above DFE,0,0,0
46105,-72.4237,40.87226,RES1,RES,R12N,293289.6,146644.8,11.0907,11.5907,Above DFE,0,0,0
46106,-72.4246,40.8829,RES1,RES,R12N,565637.5,282818.7,20.6815,23.6815,Above DFE,0,0,0
46107,-72.4366,40.88304,RES1,RES,R12N,318977,159488.5,22.0028,23.5028,Above DFE,0,0,0
46108,-72.423,40.87215,RES1,RES,R11N,204277.6,102138.8,10.3334,11.8334,Above DFE,0,0,0
46109,-72.4259,40.87908,RES1,RES,R12B,196145,98072.47,19.9589,21.9589,Above DFE,0,0,0
46110,-72.4277,40.87808,RES1,RES,R11B,246707.4,123353.7,19.1521,21.1521,Above DFE,0,0,0
46111,-72.4309,40.8819,RES1,RES,R12N,363903.3,181951.7,25.1805,26.6805,Above DFE,0,0,0
46112,-72.4314,40.88034,RES1,RES,R12B,374342.7,187171.4,20.4398,22.4398,Above DFE,0,0,0
46113,-72.4319,40.87636,RES1,RES,R13B,465503,232751.5,15.9878,17.9878,Above DFE,0,0,0
46114,-72.4367,40.87463,RES1,RES,R11N,573755.4,860633.1,14.9829,16.4829,Above DFE,0,0,0
46115,-72.4263,40.8745,RES1,RES,R12B,241019.6,120509.8,13.7427,15.7427,Above DFE,0,0,0
46116,-72.4279,40.87991,RES1,RES,R11B,219268,109634,21.7841,23.7841,Above DFE,0,0,0
46117,-72.4336,40.87284,RES1,RES,R11B,147954.7,73977.33,3.62,5.62,Under DFE,0,0,1
46118,-72.4225,40.87663,RES1,RES,R11N,192227.3,96113.65,13.6861,15.1861,Above DFE,0,0,0
46119,-72.4244,40.87947,RES1,RES,R11N,551176.2,551176.2,16.2709,17.7709,Above DFE,0,0,0
46120,-72.4255,40.87395,RES1,RES,R11B,223779.6,111889.8,11.0631,13.0631,Above DFE,0,0,0
46121,-72.4273,40.86867,RES1,RES,R11N,216183,108092,10.681,12.181,Above DFE,0,0,0
46122,-72.4307,40.88037,RES2,RES,R21B,317643,158821.5,21.96,23.96,Above DFE,0,0,0
46123,-72.4258,40.86822,RES1,RES,R11N,102773.4,51386.7,8.8124,10.3124,Under DFE,0,0,0
46124,-72.427,40.86917,RES1,RES,R12N,186981.9,93490.94,8.4915,9.9915,Under DFE,0,0,0
46125,-72.4227,40.87226,RES1,RES,R11N,110203.3,55101.65,8.6188,10.1188,Under DFE,0,0,0
46126,-72.4239,40.88188,RES1,RES,R13N,338272.3,169136.2,20.6209,22.1209,Above DFE,0,0,0
46128,-72.4223,40.87477,RES1,RES,R12N,215044.4,107522.2,11.1577,12.6577,Above DFE,0,0,0
46129,-72.4249,40.88132,RES1,RES,R11N,283856.4,141928.2,20.9997,21.4997,Above DFE,0,0,0
46130,-72.4254,40.87329,RES1,RES,R12N,329380.2,164690.1,9.5356,10.0356,Under DFE,0,0,0
46131,-72.4267,40.87926,RES1,RES,R12B,304369.4,152184.7,20.3269,22.3269,Above DFE,0,0,0
46132,-72.4365,40.88009,RES1,RES,R12N,190280,95139.99,17.6341,18.1341,Above DFE,0,0,0
46133,-72.4239,40.87296,RES1,RES,R12B,266297.6,133148.8,11.6142,13.6142,Above DFE,0,0,0
46134,-72.4245,40.87679,RES1,RES,R12N,263772.3,131886.2,15.1675,16.6675,Above DFE,0,0,0
46135,-72.4246,40.87144,RES1,RES,R12N,109906.3,54953.14,7.1389,8.6389,Under DFE,0,0,1
46136,-72.4248,40.88061,RES1,RES,R11N,142134.9,71067.45,21.1868,22.6868,Above DFE,0,0,0
46137,-72.4304,40.87033,RES1,RES,R12N,349494.9,174747.5,12.4752,13.9752,Above DFE,0,0,0
46138,-72.4293,40.86865,RES1,RES,R12N,165054.2,82527.1,8.8694,10.3694,Under DFE,0,0,0
46139,-72.4334,40.87201,RES1,RES,R12N,290611,145305.5,8.7835,10.2835,Under DFE,0,0,0
46140,-72.4354,40.87353,RES1,RES,R12N,648348.7,324174.4,11.7568,13.2568,Above DFE,0,0,0
46141,-72.4265,40.86619,RES1,RES,R11N,208260.9,104130.4,9.5492,11.0492,Above DFE,0,0,0
46142,-72.4272,40.87765,RES1,RES,R12B,377434.2,188717.1,19.2134,21.2134,Above DFE,0,0,0
46143,-72.4275,40.88105,RES1,RES,R12B,303568.7,151784.4,22.187,24.187,Above DFE,0,0,0
46144,-72.4286,40.87347,RES1,RES,R11N,144096.9,72048.47,15.1926,15.1926,Above DFE,0,0,0
46145,-72.4278,40.86598,RES1,RES,R12N,313756.3,156878.2,7.4312,8.9312,Under DFE,0,0,1
46146,-72.4281,40.87687,RES1,RES,R13N,754638.4,377319.2,16.9149,17.4149,Above DFE,0,0,0
46147,-72.4286,40.87684,RES1,RES,R12B,966379.6,483189.8,18.1993,20.1993,Above DFE,0,0,0
46148,-72.432,40.88043,RES1,RES,R12N,421298.1,210649.1,20.9638,22.4638,Above DFE,0,0,0
46149,-72.4355,40.87392,RES1,RES,R12N,323553.3,161776.7,13.3858,13.8858,Above DFE,0,0,0
46150,-72.4377,40.87398,RES1,RES,R12N,217102.7,108551.4,13.2485,14.7485,Above DFE,0,0,0
46151,-72.4383,40.87403,RES1,RES,R11N,168025.3,84012.63,11.7569,13.2569,Above DFE,0,0,0
46152,-72.4236,40.87139,RES1,RES,R12N,138949.9,69474.93,8.8728,10.3728,Under DFE,0,0,0
46153,-72.4313,40.87961,RES1,RES,R12N,202483.9,101242,21.2972,21.7972,Above DFE,0,0,0
46154,-72.4383,40.87579,RES1,RES,R11N,131475.8,65737.92,9.7027,10.2027,Under DFE,0,0,0
46155,-72.4231,40.87533,RES1,RES,R11N,90558.09,45279.04,14.9606,16.4606,Above DFE,0,0,0
46156,-72.4235,40.88035,RES1,RES,R11N,223664.8,111832.4,17.4514,18.9514,Above DFE,0,0,0
46157,-72.4258,40.88164,RES1,RES,R12B,268736,134368,23.12,25.12,Above DFE,0,0,0
46158,-72.4268,40.87659,RES2,RES,R21B,186000,93000,17.2267,19.2267,Above DFE,0,0,0
46159,-72.4302,40.8694,RES1,RES,R11N,252607.4,126303.7,9.5191,11.0191,Above DFE,0,0,0
46160,-72.4371,40.87766,RES1,RES,R11N,179302.1,89651.04,13.7735,14.2735,Above DFE,0,0,0
46161,-72.4252,40.87895,RES1,RES,R12B,124124.4,62062.17,17.8411,20.8411,Above DFE,0,0,0
46162,-72.4308,40.86938,RES1,RES,R12N,366905.8,183452.9,9.5036,11.0036,Above DFE,0,0,0
46163,-72.4391,40.87467,RES1,RES,R12N,243710.8,121855.4,9.3436,9.8436,Under DFE,0,0,0
46164,-72.4268,40.87031,RES1,RES,R12N,419387.1,209693.6,9.7663,11.2663,Above DFE,0,0,0
46165,-72.4354,40.88161,RES1,RES,R12N,518843.1,259421.6,16.8291,18.3291,Above DFE,0,0,0
46166,-72.4361,40.87897,RES1,RES,R11N,217166.8,108583.4,14.1463,15.6463,Above DFE,0,0,0
46167,-72.4268,40.87677,RES1,RES,R12N,224161.3,112080.6,17.5869,19.5869,Above DFE,0,0,0
46168,-72.4292,40.87896,RES1,RES,R11B,180274.3,90137.16,20.3155,22.3155,Above DFE,0,0,0
46169,-72.436,40.87573,RES1,RES,R12N,503602.8,251801.4,15.5866,17.0866,Above DFE,0,0,0
46170,-72.424,40.87771,RES1,RES,R12N,156971.4,78485.69,10.093,11.593,Above DFE,0,0,0
46171,-72.4287,40.88269,RES1,RES,R11N,163383,81691.5,24.2173,24.7173,Above DFE,0,0,0
46172,-72.4365,40.8763,RES1,RES,R12N,344505.3,172252.6,12.2117,13.7117,Above DFE,0,0,0
47561,-72.424,40.8808,RES1,RES,R13N,482511,241255.5,19.8721,20.3721,Above DFE,0,0,0
47562,-72.4255,40.88032,RES1,RES,R12N,292688.5,146344.3,21.124,21.624,Above DFE,0,0,0
47563,-72.426,40.87526,RES1,RES,R12B,689147,344573.5,16.7521,18.7521,Above DFE,0,0,0
47564,-72.4289,40.87811,RES2,RES,R21B,114218,57109.01,18.1382,20.1382,Above DFE,0,0,0
47565,-72.432,40.8716,COM2,NONRES,C2LB,885172,442586,9.4145,10.9145,Under DFE,0,0,0
47566,-72.436,40.87927,RES1,RES,R12N,512669.7,256334.8,18.475,19.975,Above DFE,0,0,0
47567,-72.4287,40.88179,RES1,RES,R11B,216894,108447,24.1795,26.1795,Above DFE,0,0,0
47568,-72.435,40.883,RES1,RES,R12N,210238.5,105119.2,18.7947,19.2947,Above DFE,0,0,0
47569,-72.4235,40.8788,RES2,RES,R21N,165600,82800,11.3179,12.8179,Above DFE,0,0,0
47570,-72.4271,40.87493,RES1,RES,R11B,118197.3,59098.64,17.6928,19.6928,Above DFE,0,0,0
47571,-72.4321,40.87193,RES1,RES,R12N,125936,62968,9.7475,11.2475,Above DFE,0,0,0
47572,-72.4364,40.88361,RES1,RES,R12N,233605.5,116802.8,19.91,21.41,Above DFE,0,0,0
47573,-72.4367,40.87837,RES1,RES,R11N,213239.7,106619.9,13.5096,15.0096,Above DFE,0,0,0
47574,-72.4377,40.87257,RES1,RES,R11N,138013.5,69006.73,7.7579,9.2579,Under DFE,0,0,0
47575,-72.4242,40.87409,RES3A,RES,R3A1N,504281.7,252140.9,12.1106,14.1106,Above DFE,0,0,0
47576,-72.4259,40.87164,RES1,RES,R12N,441755.4,220877.7,8.3262,9.8262,Under DFE,0,0,0
47577,-72.4266,40.87729,RES1,RES,R12B,296589.4,148294.7,16.4469,18.4469,Above DFE,0,0,0
47578,-72.4267,40.86991,RES1,RES,R11N,334437.8,167218.9,8.742,10.242,Under DFE,0,0,0
47579,-72.4279,40.8828,RES1,RES,R12N,260999.1,130499.6,23.5094,24.0094,Above DFE,0,0,0
47580,-72.4299,40.88254,RES1,RES,R13N,428733.9,214366.9,24.4307,24.9307,Above DFE,0,0,0
47581,-72.434,40.87205,RES1,RES,R12N,362353.5,181176.8,6.4163,7.9163,Under DFE,0,0,1
47582,-72.4252,40.87785,RES1,RES,R12B,299928,149964,17.6602,19.6602,Above DFE,0,0,0
47583,-72.4318,40.87121,RES1,RES,R12N,147160.9,73580.43,10.0172,10.5172,Under DFE,0,0,0
47584,-72.4362,40.87374,RES1,RES,R13N,395054.2,197527.1,11.6657,12.1657,Above DFE,0,0,0
47585,-72.4221,40.87359,RES1,RES,R12N,413006.1,206503.1,9.721,11.221,Above DFE,0,0,0
47586,-72.4235,40.87659,RES1,RES,R11N,152230.2,76115.09,13.7071,15.2071,Above DFE,0,0,0
47587,-72.4259,40.86842,RES1,RES,R11N,143015.4,71507.68,7.1302,8.6302,Under DFE,0,0,1
47588,-72.4263,40.87827,RES1,RES,R13B,559403,279701.5,18.8663,20.8663,Above DFE,0,0,0
47589,-72.4299,40.87298,RES1,RES,R12B,262716,131358,13.2662,15.2662,Above DFE,0,0,0
47590,-72.4348,40.88059,RES1,RES,R11N,230517,115258.5,19.4668,19.9668,Above DFE,0,0,0
47591,-72.4227,40.87416,RES1,RES,R12N,222235.6,111117.8,9.9099,11.4099,Above DFE,0,0,0
47592,-72.4269,40.87394,RES1,RES,R12B,382600.5,191300.3,13.4198,15.4198,Above DFE,0,0,0
47593,-72.4307,40.88095,RES1,RES,R12B,421267.5,210633.7,21.9209,23.9209,Above DFE,0,0,0
47594,-72.4232,40.87754,RES1,RES,R11N,476101.2,238050.6,12.2787,13.7787,Above DFE,0,0,0
47595,-72.4312,40.87012,RES1,RES,R12B,299636.4,149818.2,9.1598,11.1598,Above DFE,0,0,0
47596,-72.4317,40.87817,RES1,RES,R12N,255790.9,127895.4,20.0682,20.5682,Above DFE,0,0,0
47597,-72.4367,40.87629,RES1,RES,R11N,117170.8,58585.4,10.7416,11.2416,Above DFE,0,0,0
47598,-72.4257,40.87596,RES3A,RES,R3A1B,4343309,6514963,16.0775,16.5775,Above DFE,0,0,0
47600,-72.4267,40.87394,RES1,RES,R12B,150296.2,75148.11,12.8498,14.8498,Above DFE,0,0,0
47601,-72.4268,40.88113,RES1,RES,R12N,188540.8,94270.39,22.7498,23.2498,Above DFE,0,0,0
47602,-72.4297,40.8736,RES1,RES,R11B,160467.2,80233.62,14.3203,16.3203,Above DFE,0,0,0
47603,-72.4333,40.87618,RES1,RES,R13B,450982.7,225491.4,14.83,16.83,Above DFE,0,0,0
