id,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value,FFE_ft,Floodplain_Status,TargetYear,Scenario,Action,CumEAD_P05,CumEAD_P50,CumEAD_P95
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,Elevate,0,0,231891.409062749
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Baseline,12401.5626728591,86226.3244159373,264726.560449564
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Raise Utilities,0,28536.233889278,185412.840919588
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,WFP B,0,16209.6901234844,170012.860228506
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Elevate,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P90,Baseline,15646.8237079252,87903.8270281755,256050.007211084
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P90,Raise Utilities,0,29854.1490314997,187154.947097717
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P90,WFP B,0,17590.9502348348,176124.849903828
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P90,Elevate,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P90,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P50,Baseline,175229.223311531,353587.656471287,625806.158365199
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P50,Raise Utilities,49746.9617992523,176612.006112321,413593.638029879
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P50,WFP B,28196.2654468174,136049.771608701,360777.388951371
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P50,Elevate,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P50,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P90,Baseline,223383.765850846,406111.997744959,694977.987808265
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P90,Raise Utilities,66490.9561512975,202185.770248363,463003.086733931
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P90,WFP B,38466.3066640592,159825.766892754,407091.931800625
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P90,Elevate,0,0,9603.59624497905
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2055,P90,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P50,Baseline,4781662.0859295,5312085.28328321,5880493.88455757
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P50,Raise Utilities,3766620.2392512,4264898.78957612,4843493.75055216
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P50,WFP B,3460029.36055069,3946818.0789597,4515262.12405116
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P50,Elevate,0,26761.2631303432,226044.735774389
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P50,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P90,Baseline,6672879.58913505,7125194.13524445,7642355.99321253
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P90,Raise Utilities,5594119.19682907,6031617.77767611,6529295.81898607
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P90,WFP B,5257507.04508331,5681958.97642897,6175251.78050208
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P90,Elevate,93348.046295639,259701.529995826,543884.939239328
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2100,P90,WFP 1st,0,0,0
