ID,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value
"46135","RES1-2SNB","M","2","719.3","C","1.5","1984","7.1389","Oyster Pond Rd","-72.4246","40.87144","109906.3","54953.14"
"46136","RES1-1SNB","W","1","815.8","C","1.5","1984","21.1868","103 Old Point Rd","-72.4248","40.88061","142134.9","71067.45"
"46137","RES1-2SNB","W","2","2808","C","1.5","1984","12.4752","Dump Rd","-72.4304","40.87033","349494.9","174747.5"
"46138","RES1-2SNB","W","2","1326.1","C","1.5","1984","8.8694","Swamp Rd","-72.4293","40.86865","165054.2","82527.1"
"46139","RES1-2SNB","W","2","2334.9","C","1.5","1984","8.7835","240 W Church St","-72.4334","40.87201","290611","145305.5"
"46140","RES1-2SNB","M","2","4243.1","C","1.5","1984","11.7568","248 W Church St","-72.4354","40.87353","648348.7","324174.4"
"46141","RES1-1SNB","W","1","1401.3","C","1.5","1984","9.5492","162 Old Point Rd","-72.4265","40.86619","208260.9","104130.4"
"46142","RES1-2SWB","C","2","2717.7","B","2","1984","19.2134","211 Church St","-72.4272","40.87765","377434.2","188717.1"
"46143","RES1-2SWB","W","2","2097.9","B","2","1984","22.187","304B Little Beach Rd","-72.4275","40.88105","303568.7","151784.4"
"46144","RES1-1SWB","W","1","878.6","S","0","1984","15.1926","222 Church St","-72.4286","40.87347","144096.9","72048.47"
"46145","RES1-2SNB","W","2","2520.9","C","1.5","1984","7.4312","161 Old Point Rd","-72.4278","40.86598","313756.3","156878.2"
"46146","RES1-3SNB","W","3","6017.9","S","0.5","1984","16.9149","Gwatney Flds","-72.4281","40.87687","754638.4","377319.2"
"46147","RES1-2SWB","W","2","6678.3","B","2","1984","18.1993","Gwatney Flds","-72.4286","40.87684","966379.6","483189.8"
"46148","RES1-2SNB","C","2","3534.4","C","1.5","1984","20.9638","","-72.432","40.88043","421298.1","210649.1"
"46149","RES1-2SNB","C","2","2512.1","S","0.5","1984","13.3858","250 W Church St","-72.4355","40.87392","323553.3","161776.7"
"46150","RES1-2SNB","W","2","1446.7","C","1.5","1984","13.2485","Little Beach Rd","-72.4377","40.87398","217102.7","108551.4"
"46151","RES1-1SNB","C","1","1168.1","C","1.5","1984","11.7569","327 Little Beach Rd","-72.4383","40.87403","168025.3","84012.63"
"46152","RES1-2SNB","W","2","1116.4","C","1.5","1984","8.8728","Oyster Pond Rd","-72.4236","40.87139","138949.9","69474.93"
"46153","RES1-2SNB","C","2","1572.1","S","0.5","1984","21.2972","","-72.4313","40.87961","202483.9","101242"
"46154","RES1-1SNB","C","1","929.6","S","0.5","1984","9.7027","Cuffee Dr","-72.4383","40.87579","131475.8","65737.92"
"46155","RES1-1SNB","W","1","609.3","C","1.5","1984","14.9606","121 Arabash Rd","-72.4231","40.87533","90558.09","45279.04"
"46156","RES1-1SNB","M","1","1285.4","C","1.5","1984","17.4514","","-72.4235","40.88035","223664.8","111832.4"
"46157","RES1","C","2","1700","B","2","1984","23.12","301 Little Beach Rd","-72.4258","40.88164","268736","134368"
"46158","RES2","H","1","1500","B","2","1984","17.2267","214 Church St","-72.4268","40.87659","186000","93000"
"46159","RES1-1SNB","W","1","1449.9","C","1.5","1984","9.5191","Dump Rd","-72.4302","40.8694","252607.4","126303.7"
"46160","RES1-1SNB","C","1","1267.7","S","0.5","1984","13.7735","Fishcow Lndg","-72.4371","40.87766","179302.1","89651.04"
"46161","RES1-1SWB","C","2","877.6","B","3","1984","17.8411","107 Old Point Rd","-72.4252","40.87895","124124.4","62062.17"
"46162","RES1-2SNB","C","2","2533.9","C","1.5","1984","9.5036","Swamp Rd","-72.4308","40.86938","366905.8","183452.9"
"46163","RES1-2SNB","W","2","1684.2","S","0.5","1984","9.3436","330 Little Beach Rd","-72.4391","40.87467","243710.8","121855.4"
"46164","RES1-2SNB","M","2","2744.7","C","1.5","1984","9.7663","149 Old Point Rd","-72.4268","40.87031","419387.1","209693.6"
"46165","RES1-2SNB","W","2","4168.6","C","1.5","1984","16.8291","512 W Gate Rd","-72.4354","40.88161","518843.1","259421.6"
"46166","RES1-1SNB","C","1","1509.8","C","1.5","1984","14.1463","523 W Gate Rd","-72.4361","40.87897","217166.8","108583.4"
"46167","RES1-2SWB","W","2","1812.7","W","2","1984","17.5869","213 Church St","-72.4268","40.87677","224161.3","112080.6"
"46168","RES1-1SWB","W","1","1099.2","B","2","1984","20.3155","310 Little Beach Rd","-72.4292","40.87896","180274.3","90137.16"
"46169","RES1-2SNB","W","2","3355.9","C","1.5","1984","15.5866","324 Little Beach Rd","-72.436","40.87573","503602.8","251801.4"
"46170","RES1-2SNB","C","2","1316.9","C","1.5","1984","10.093","112 Old Point Rd","-72.424","40.87771","156971.4","78485.69"
"46171","RES1-1SNB","C","1","1155.1","S","0.5","1984","24.2173","415 Old Soldiers Rd","-72.4287","40.88269","163383","81691.5"
"46172","RES1-2SNB","C","2","2379.2","C","1.5","1984","12.2117","Cuffee Dr","-72.4365","40.8763","344505.3","172252.6"
"47561","RES1-3SNB","C","3","3000.7","S","0.5","1984","19.8721","102 Old Point Rd","-72.424","40.8808","482511","241255.5"
"47562","RES1-2SNB","W","2","2183.2","S","0.5","1984","21.124","200 Church St","-72.4255","40.88032","292688.5","146344.3"
"47563","RES1-2SWB","W","2","4762.5","B","2","1984","16.7521","136 Old Point Rd","-72.426","40.87526","689147","344573.5"
"47564","RES2","H","1","921.1","B","2","1984","18.1382","Gwatney Flds","-72.4289","40.87811","114218","57109.01"
"47565","COM2","W","1","2692.9","C","1.5","1984","9.4145","","-72.432","40.8716","328509.2","328509.2"
"47566","RES1-2SNB","W","2","3416.3","C","1.5","1984","18.475","522 W Gate Rd","-72.436","40.87927","512669.7","256334.8"
"47567","RES1-1SWB","W","1","1322.5","B","2","1984","24.1795","417 Old Soldiers Rd","-72.4287","40.88179","216894","108447"
"47568","RES1-2SNB","C","2","1513.8","S","0.5","1984","18.7947","508 Sunset Trl","-72.435","40.883","210238.5","105119.2"
"47569","RES2","H","1","1500","C","1.5","1984","11.3179","109 Old Point Rd","-72.4235","40.8788","165600","82800"
"47570","RES1-1SWB","W","1","720.7","B","2","1984","17.6928","217 Church St","-72.4271","40.87493","118197.3","59098.64"
