ID,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value
"47620","RES1-1SNB","C","1","1142","S","0.5","1984","17.6276","Old Point Rd","-72.4255","40.87635","161527.3","80763.65"
"47621","RES1-3SWB","W","3","2823.2","B","2","1984","23.7715","302 Little Beach Rd","-72.4263","40.88178","373335.3","186667.7"
"47622","RES1-3SNB","W","3","4513.1","S","0.5","1984","7.8882","141 Old Point Rd","-72.428","40.86678","596805.7","298402.9"
"47623","RES1-1SNB","W","1","730.4","C","1.5","1984","8.4181","235 Round Swamp Rd","-72.4321","40.86989","108556.2","54278.08"
"55283","RES1-1SNB","W","1","1254","C","1.5","1970","4.141","4 Landing Ln","-72.4354","40.88486","186374.5","93187.25"
"55438","COM8","W","1","1521.9","B","0.5","1970","9.4179","","-72.4346","40.88531","435466.6","217733.3"
"55488","RES1-1SWB","W","1","720","B","2","1970","5.6434","6 Landing Ln","-72.4355","40.88507","118085.8","59042.88"
"10001","EDU1","W","3","4196","B","2","1984","13.6398","","-72.4304","40.87155","1219627","609813.8"
"10002","IND3","W","1","5010","S","0.5","1984","7.8901","","-72.4238","40.87056","701934.8","350967.4"
"10003","RES1-2SWB","W","2","1972","B","2","1984","13.6398","","-72.431","40.87145","285356.3","142678.1"
"10004","RES1-2SNB","W","2","638","S","0.5","1984","10.9379","","-72.4323","40.87312","86767.07","43383.54"
"10005","RES1","W","1","1134","P","4","1984","21.06","","-72.4239","40.88394","179857","89929"
"10006","RES2","H","1","1398","S","3","1984","","","-72.4303","40.88336","191022","95511"
"10007","RES3B","W","2","2192","C","3","1984","9.68","","-72.4322","40.87054","317296","158648"
"10008","RES1","W","1","911","C","3","1984","13.93","","-72.42891848087312","40.874121404854144","170427","85214"
"10009","COM8","W","1","3876","B","3","1984","16.94","","-72.4336","40.88515","1330690","665345"
"10010","RES2","H","1","452","S","0.5","1984","16.32","","-72.4355","40.87613","151016","75508"
"10011","RES1","W","2","786","B","3","1984","19.12","","-72.4348","40.87917","198380","99190"
"10012","COM1","H","1","1544","P","4","1984","24.51","","-72.4296","40.8832","1425227","712614"
"10013","RES2","H","1","2357","S","3","1984","11.26","","-72.43647426366807","40.87223317029866","228925","114463"
"10014","RES1","W","2","1479","W","5","1984","11.1","","-72.4277","40.87137","256992","128496"
"10015","RES1","W","1","1906","S","3","1984","18.88","","-72.4346","40.88183","212504","106252"
"10016","IND2","W","1","779","S","0","1984","10.35","","-72.4312","40.87141","126044","63022"
"10017","RES1","W","1","2810","S","1","1984","27.11","410 Old Soldiers Road","-72.4312","40.88279","250733","125367"
"10018","COM1","W","2","2685","B","2","1984","21.14","","-72.4321","40.88232","1270124","635062"
"10019","RES1","W","1","694","C","4","1984","14.79","","-72.4349","40.87694","161250","80625"
"10020","RES1","M","1","1016","S","0.5","1984","23.12","","-72.43169993162157","40.88161296695215","174867","87434"
"10021","IND2","","2","2218","S","0.5","1984","13.15","475 Old Point Road","-72.4235","40.87977","621514","310757"
"10022","RES2","H","1","594","C","3","1984","13.75","","-72.4275","40.87344","157021","78511"
"10023","COM3","W","2","693","U","2","1984","19.55","","-72.4331","40.87803","1431632","715816"
"10024","RES2","H","1","1305","B","2","1984","21.97","","-72.4333","40.88216","187089","93545"
"10025","RES3B","W","2","1352","S","3","1984","21.49","","-72.4337","40.88176","246251","123126"
"10026","RES1","W","2","1392","S","1","1984","26.11","","-72.4254","40.88375","249634","124817"
"10027","IND2","S","2","3923","S","0","1984","21.83","","-72.4325","40.8824","1099278","549639"
"10028","RES1","W","2","2167","B","4","1984","13.56","","-72.43586003780366","40.880676061069195","315182","157591"
"10029","RES1","W","1","949","S","1","1984","25.21","","-72.425","40.88414","172034","86017"
"10030","RES2","H","1","885","S","0.5","1984","20.87","","-72.4342","40.88273","169327","84664"
"10031","RES1","W","1","1434","B","3","1984","25.71","","-72.4271","40.88338","192544","96272"
"10032","RES1","H","1","1035","S","1","1984","17.15","","-72.4274","40.87701","175671","87836"
"10033","RES2","H","1","2482","S","2","1984","24.65","","-72.433","40.8838","236863","118432"
"10034","RES2","H","1","2712","B","2","1984","25.06","","-72.4336","40.88427","246589","123295"
"10035","RES1","W","2","881","B","3","1984","14.67","","-72.4354","40.87443","206415","103208"
"10036","RES1","W","1","593","S","1","1984","9.88","","-72.4383","40.87493","156979","78490"
"10037","RES2","H","1","1800","S","1","1984","24.12","","-72.4339","40.88338","208022","104011"
"10038","RES1","W","1","1397","S","1","1984","20.13","","-72.4345","40.88221","190979","95490"
"10039","RES2","H","1","1009","B","3","1984","20.37","","-72.4287","40.87923","174571","87286"
"10040","COM1","W","2","746","B","2","1984","20.88","","-72.4323","40.88209","1427335","713668"
"10041","RES1","W","2","631","S","1","1984","25.65","","-72.42535650730134","40.884147818983095","185270","92635"
"10042","RES1","W","1","687","P","4","1984","7.5","","-72.4373781681061","40.87545591408884","160954","80477"
"10043","RES1","W","1","823","C","2","1984","13.52","","-72.4222","40.87604","166706","83353"
"10044","RES1","W","1","1557","B","2","1984","23.19","","-72.4346","40.8837","197746","98873"
"10045","GOV1","C","2","2638","S","3","1984","4.81","Community Building","-72.4295","40.87129","419126","209563"
"10046","RES3B","W","1","1010","B","8","1984","3.46","","-72.4281","40.86334","174614","87307"
"10047","RES1","W","2","2111","S","0.5","1984","9.68","","-72.426","40.87145","350526","175263"
"10048","RES1","W","1","211","C","3","1984","24.07","","-72.42536991834642","40.88278915036722","140825","70413"
"10049","RES1","W","2","1397","B","2","1984","24.31","","-72.426","40.88338","257418","128709"
"10050","RES2","H","1","828","P","3","1984","14.34","","-72.4347","40.88143","166917","83459"
