BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7558134,-72.881684,40.752696,RES1-2SWB,RES,R12B,290409.01,145204.51,9.0969,11.0969,Above DFE,0,0
7558135,-72.88218,40.752233,RES1-2SWB,RES,R12B,249698.21,124849.1,9.1485,11.1485,Above DFE,0,0
7558136,-72.87919,40.752777,RES1-2SNB,RES,R12N,294787.4,147393.7,9.7171,11.2171,Above DFE,0,0
7558137,-72.877573,40.752415,RES1-1SWB,RES,R11B,307340.35,153670.18,8.1772,10.1772,Above DFE,0,0
7558138,-72.877865,40.752483,RES1-2SWB,RES,R12B,256235.35,128117.67,9.4352,11.4352,Above DFE,0,0
7558139,-72.879681,40.752754,RES1-1SWB,RES,R11B,150694.93,75347.47,10.509,12.509,Above DFE,0,0
7558140,-72.879461,40.752784,RES1-2SWB,RES,R12B,388394.55,194197.28,11.2358,13.2358,Above DFE,0,0
7558141,-72.881154,40.752739,RES1-1SWB,RES,R11B,190247.43,95123.71,10.9131,12.9131,Above DFE,0,0
7558142,-72.881835,40.752696,RES3A,RES,R3A1B,311215.9,155607.95,8.86,10.86,Above DFE,0,0
7558143,-72.880643,40.752727,RES1-1SWB,RES,R11B,218541.43,109270.71,11.1867,13.1867,Above DFE,0,0
7558144,-72.880091,40.752754,RES1-1SNB,RES,R11N,165210.62,82605.31,11.6511,19.6511,Above DFE,0,0
7558145,-72.87864,40.752808,RES1-1SWB,RES,R11B,288031.68,144015.84,10.0524,12.0524,Above DFE,0,0
7558146,-72.878416,40.752443,RES1-1SWB,RES,R11B,200136.9,100068.45,9.3074,11.3074,Above DFE,0,0
7558147,-72.882208,40.752626,RES1-2SWB,RES,R12B,259222.94,129611.47,7.772,9.772,Under DFE,0,0
7558148,-72.882246,40.752494,RES1-1SNB,RES,R11N,159967.87,79983.94,7.768,15.768,Above DFE,0,0
7558149,-72.877698,40.752844,RES1-2SWB,RES,R12B,223507.47,111753.73,9.0155,11.0155,Above DFE,0,0
7558150,-72.882219,40.752751,RES1-1SWB,RES,R11B,267759.36,133879.68,8.2556,10.2556,Above DFE,0,0
7558151,-72.878417,40.752771,RES1-1SWB,RES,R11B,252870.08,126435.04,9.9584,11.9584,Above DFE,0,0
7558152,-72.879952,40.752364,RES1-1SWB,RES,R11B,308518.48,154259.24,10.3675,12.3675,Above DFE,0,0
7558153,-72.88182,40.752313,RES1-1SWB,RES,R11B,249350.4,124675.2,8.3024,10.3024,Above DFE,0,0
7558154,-72.878975,40.752416,RES1-2SWB,RES,R12B,342458.27,171229.13,10.199,12.199,Above DFE,0,0
7558155,-72.881287,40.752327,RES1-1SNB,RES,R11N,164448.67,82224.33,9.5715,17.5715,Above DFE,0,0
7558156,-72.880561,40.752322,RES1-1SWB,RES,R11B,224055.27,112027.64,9.9747,11.9747,Above DFE,0,0
7558157,-72.880945,40.752701,RES1-2SWB,RES,R12B,315799.15,157899.57,11.3427,13.3427,Above DFE,0,0
7558158,-72.88078,40.752359,RES1-2SWB,RES,R12B,282129.62,141064.81,10.7682,12.7682,Above DFE,0,0
7558159,-72.880322,40.752368,RES1-1SWB,RES,R11B,256083.48,128041.74,10.7115,12.7115,Above DFE,0,0
