BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction
10026,-76.9962537288666,37.5771890248941,RES4,RES,R4LN,185742,92871,12.44,12.94,Above DFE,1
10027,-76.9961625337601,37.5772549227369,RES4,RES,R4LN,181624,90812,12.54,13.04,Above DFE,1
10028,-76.9966185092926,37.5773463293255,RES4,RES,R4LN,177077,88539,12.24,12.74,Above DFE,1
10029,-76.9967338442803,37.5773718381209,RES4,RES,R4LN,174967,87484,12.5,13,Above DFE,1
10030,-76.9987964630127,37.5776035426122,RES4,RES,R4LN,184390,92195,15.02,15.52,Above DFE,1
10031,-77.0002770423889,37.5776354284949,RES4,RES,R4LN,192973,96487,15.13,15.63,Above DFE,1
10032,-77.0003896951676,37.5774058498345,RES4,RES,R4LN,189614,94807,14.25,14.75,Above DFE,1
10033,-77.0009985566139,37.5796123265569,RES4,RES,R4LN,209567,104784,9.81,10.31,Above DFE,1
10034,-77.0013445615769,37.5792212025033,RES4,RES,R4LN,177753,88877,8.65,9.15,Above DFE,1
10035,-77.0026722550392,37.5795294254346,RES4,RES,R4LN,172119,86060,9.68,10.18,Above DFE,1
10036,-77.0028680562973,37.5794571525859,RES4,RES,R4LN,171976,85988,10.1,10.6,Above DFE,1
10037,-77.0085516571999,37.5769998339892,RES3F,RES,R3F1N,195677,97839,10.91,11.41,Above DFE,0
10038,-77.0065641403198,37.5743468592101,RES4,RES,R4LN,188098,94049,12.39,12.89,Above DFE,1
10039,-77.0068323612213,37.5736091963843,RES4,RES,R4LN,182853,91427,9.96,10.46,Above DFE,1
10040,-77.0062100887299,37.5728885331382,RES4,RES,R4LN,193936,96968,8.96,9.46,Above DFE,1
10041,-77.0049226284027,37.572350688472,RES4,RES,R4LN,175663,87832,8.09,8.59,Under DFE,1
10042,-77.005341053009,37.5713366387534,RES4,RES,R4LN,199037,99519,5.92,6.42,Under DFE,1
10043,-77.0039409399033,37.5746763604169,RES4,RES,R4LN,179637,89819,10.03,10.53,Above DFE,1
10044,-77.0039623975754,37.5749973569647,RES4,RES,R4LN,179453,89727,11.28,11.78,Above DFE,1
10045,-77.0027339458466,37.5758200371639,RES4,RES,R4LN,175048,87524,12.36,12.86,Above DFE,1
10046,-77.0020768046379,37.5745318052282,RES4,RES,R4LN,187872,93936,10.35,10.85,Above DFE,1
10047,-77.0009019970894,37.5741534094353,RES2,RES,R21N,212475,106238,7.29,10.29,Above DFE,1
10048,-77.000821530819,37.5738154025786,RES4,RES,R4LN,178613,89307,6.49,7.49,Under DFE,1
10049,-77.0086348056793,37.5808643348481,RES4,RES,R4LN,202274,101137,10.39,10.89,Above DFE,1
10050,-77.0091336965561,37.5797547462184,RES4,RES,R4LN,193772,96886,10.52,11.02,Above DFE,1
10051,-77.0121672749519,37.5772421683202,RES4,RES,R4LN,181829,90915,13,13.5,Above DFE,1
10052,-77.0113304257393,37.5769254329398,RES4,RES,R4LN,180866,90433,11.37,11.87,Above DFE,1
579537068,-77.0111641287804,37.5766150734749,RES4,RES,R4LN,180866,90433,10.87,11.37,Above DFE,1
579537069,-77.011641561985,37.576517288718,RES4,RES,R4LN,180866,90433,12.48,12.98,Above DFE,1
10006,-76.9973105192185,37.5740173565454,RES4,RES,R4LN,191416,95708,5.21,5.71,Under DFE,1
